,Pathology,Protein,diff,X.log.p_adj,diff_zscore_global
33,Stroma + adipose tissue,CCR7,-0.18313962,59.76046911229937,-0.84408957
34,Stroma + adipose tissue,CD14,-0.03680092,9.66047505271136,-0.115186185
35,Stroma + adipose tissue,CD163,-0.22547695,91.67117791516881,-1.054969
36,Stroma + adipose tissue,CD19,-0.03307128,19.993241791630616,-0.096609086
37,Stroma + adipose tissue,CD27,-0.08128911,15.348911477099374,-0.33677894
38,Stroma + adipose tissue,CD274,-0.27484274,46.10640112776477,-1.3008566
39,Stroma + adipose tissue,CD3E,-0.23381779,39.9147289625293,-1.0965141
40,Stroma + adipose tissue,CD4,-0.13803512,44.16119076365149,-0.619427
41,Stroma + adipose tissue,CD40,0.07637811,22.581173560206793,0.448551
42,Stroma + adipose tissue,CD68,-0.40079036,103.18809069602635,-1.9281933
43,Stroma + adipose tissue,CD8A,-0.29459834,49.15109781243425,-1.3992579
44,Stroma + adipose tissue,CEACAM8,0.29996645,5.7216610290957535,1.5622298
45,Stroma + adipose tissue,CR2,0.030000746,23.545888675237535,0.21754847
46,Stroma + adipose tissue,CXCR5,0.13752759,25.145438506827347,0.75313246
47,Stroma + adipose tissue,EPCAM,-0.15694308,37.316315424127296,-0.7136063
48,Stroma + adipose tissue,FCGR3A,-0.27458906,41.61963790696979,-1.2995931
49,Stroma + adipose tissue,HLA_DRA,-0.3274005,61.398053560930535,-1.5626433
50,Stroma + adipose tissue,ITGAM,0.0335716,1.2548198653314937,0.23533466
51,Stroma + adipose tissue,ITGAX,-0.11131066,12.812309693839385,-0.48631427
52,Stroma + adipose tissue,KRT5,-0.524986,20.3677584379326,-2.5468037
53,Stroma + adipose tissue,MS4A1,0.12916493,21.87577528874472,0.7114787
54,Stroma + adipose tissue,PAX5,-0.3862611,29.955677607602905,-1.8558241
55,Stroma + adipose tissue,PCNA,-0.449126,91.67117791516881,-2.1689498
56,Stroma + adipose tissue,PDCD1,0.046196938,20.151434102011525,0.29822063
57,Stroma + adipose tissue,PECAM1,0.072797,6.959674349314404,0.43071374
58,Stroma + adipose tissue,PTPRC_1,-0.05702138,7.757280564348057,-0.21590294
59,Stroma + adipose tissue,PTPRC_2,-0.16057384,33.12887195763273,-0.7316909
60,Stroma + adipose tissue,SDC1,-0.21327376,30.849841032021928,-0.9941857
61,Stroma + adipose tissue,VIM,-0.055779517,3.2889585961302936,-0.2097173
62,Stroma,ACTA2,-0.0088047385,0.12272609217792195,0.024260938
63,Stroma,BCL2,-0.1765765,28.38548038005627,-0.81139904
64,Stroma,CCR7,-0.10122919,36.5119626433679,-0.43609914
65,Stroma,CD14,-0.08652109,45.088761605090504,-0.36283904
66,Stroma,CD163,-0.14398336,43.114105345798706,-0.6490548
67,Stroma,CD19,-0.03199923,19.493157543022125,-0.091269284
68,Stroma,CD27,-0.06629783,23.26354277806457,-0.26210833
69,Stroma,CD274,-0.211815,46.27961151360919,-0.9869197
70,Stroma,CD3E,-0.18649834,32.12209614759445,-0.8608191
71,Stroma,CD4,-0.06869799,26.06132792203571,-0.27406335
72,Stroma,CD40,-0.014487743,1.4752013130138668,-0.004045732
73,Stroma,CD68,-0.30506793,45.23063858864193,-1.4514062
74,Stroma,CD8A,-0.21330708,33.04351778816805,-0.9943516
75,Stroma,CEACAM8,0.15060198,3.955852526866574,0.8182552
76,Stroma,CR2,0.0035248399,1.0023716373862808,0.08567375
77,Stroma,CXCR5,0.0049829483,0.1766896168582134,0.092936486
78,Stroma,EPCAM,-0.070337355,4.928591984063007,-0.28222895
79,Stroma,FCGR3A,-0.23151565,36.5119626433679,-1.0850472
80,Stroma,HLA_DRA,-0.29884502,49.58513015293462,-1.4204104
81,Stroma,ITGAM,-0.067457974,10.340403036723913,-0.26788694
82,Stroma,ITGAX,-0.14695644,22.38771731434927,-0.66386354
83,Stroma,KRT5,-0.5723589,50.901501177384766,-2.782765
84,Stroma,MS4A1,0.0057670474,0.2039947993261294,0.096842036
85,Stroma,PAX5,-0.14187884,7.558457770740828,-0.63857234
86,Stroma,PCNA,-0.16972023,11.056641370369425,-0.77724844
87,Stroma,PDCD1,-0.010918379,2.771034371414397,0.013733036
88,Stroma,PECAM1,0.110170305,8.624890173049598,0.6168677
89,Stroma,PTPRC_1,-0.035375237,4.973385376369057,-0.10808495
90,Stroma,PTPRC_2,-0.15299374,29.142538544670664,-0.6939349
91,Stroma,SDC1,-0.11916506,14.189887161818534,-0.5254365
92,Stroma,VIM,-0.0656389,3.7372807917010005,-0.25882623
93,DCIS,ACTA2,-0.30076218,71.91267847902473,-1.4299595
94,DCIS,BCL2,0.05658543,12.346123186142945,0.349965
95,DCIS,CCR7,0.03121388,11.234615168309807,0.22359101
96,DCIS,CD14,-0.08289933,65.1806420737769,-0.3447993
97,DCIS,CD163,-0.00026643276,0.013030418706854471,0.06678967
98,DCIS,CD19,-0.010834098,5.889253955920307,0.014152833
99,DCIS,CD27,-0.0622105,42.08563536363765,-0.24174961
100,DCIS,CD274,-0.0014859438,0.04276476892940479,0.060715366
101,DCIS,CD3E,-0.14082295,20.799791371272633,-0.633313
102,DCIS,CD4,0.014602244,6.058148727272494,0.14084956
103,DCIS,CD40,-0.13372535,147.93512077511923,-0.5979603
104,DCIS,CD68,-0.03633684,1.420319110407766,-0.11287463
105,DCIS,CD8A,-0.19450319,28.14925920762094,-0.90069073
106,DCIS,CEACAM8,-0.294293,46.09732204977938,-1.397737
107,DCIS,CR2,-0.024808764,62.60877208816219,-0.055454053
108,DCIS,CXCR5,-0.1662631,75.47420133217317,-0.7600287
109,DCIS,EPCAM,0.2350167,70.00487322028846,1.2387193
110,DCIS,FCGR3A,-0.21453875,38.441157491703166,-1.0004865
111,DCIS,HLA_DRA,-0.20784527,31.890362389259437,-0.96714675
112,DCIS,ITGAM,-0.034383714,7.991483695231104,-0.10314624
113,DCIS,ITGAX,-0.18293792,40.90074048121312,-0.8430849
114,DCIS,KRT5,0.040806293,1.003256246840196,0.2713702
115,DCIS,MS4A1,-0.15219939,85.69903486322566,-0.6899783
116,DCIS,PAX5,0.01928538,0.6313174988171151,0.16417596
117,DCIS,PCNA,0.35698295,133.48934072230992,1.8462251
118,DCIS,PDCD1,-0.04510045,44.11625113419219,-0.1565256
119,DCIS,PECAM1,-0.17879242,74.44062939724355,-0.8224364
120,DCIS,PTPRC_1,-0.09325248,64.6724550499324,-0.39636767
121,DCIS,PTPRC_2,-0.15057135,27.639842642207178,-0.68186915
122,DCIS,SDC1,0.18953902,86.28724436100391,1.012198
123,DCIS,VIM,-0.23504686,69.36787109306938,-1.1026361
124,Lymphocytes,ACTA2,-0.07738966,2.4344556871813388,-0.317356
125,Lymphocytes,BCL2,0.050356746,3.0579996944673336,0.31894034
126,Lymphocytes,CCR7,0.116627336,10.08796552812687,0.64902973
127,Lymphocytes,CD14,0.028016508,1.9612338010783052,0.20766512
128,Lymphocytes,CD163,0.09621656,8.423366390240556,0.547365
129,Lymphocytes,CD19,0.018502712,4.2571711615635515,0.16027753
130,Lymphocytes,CD27,0.08053768,11.94077389854848,0.46926954
131,Lymphocytes,CD274,0.100280225,5.794813015118052,0.56760585
132,Lymphocytes,CD3E,0.50246197,17.059741947432766,2.5708466
133,Lymphocytes,CD4,0.06063187,8.528207804779358,0.37012005
134,Lymphocytes,CD40,0.061656177,6.799982230296103,0.37522206
135,Lymphocytes,CD68,0.22362512,11.476776317820143,1.1819786
136,Lymphocytes,CD8A,0.5177027,17.80025659196171,2.6467595
137,Lymphocytes,CEACAM8,0.21902108,5.328591401831448,1.1590462
138,Lymphocytes,CR2,-0.02210337,13.894976585357751,-0.041978657
139,Lymphocytes,CXCR5,0.22177917,13.404359518201879,1.172784
140,Lymphocytes,EPCAM,-0.1877042,13.1406157407345,-0.8668254
141,Lymphocytes,FCGR3A,0.053856015,1.0297700203463445,0.33636996
142,Lymphocytes,HLA_DRA,0.34734082,15.014482660242207,1.7981983
143,Lymphocytes,ITGAM,0.02578026,1.6056303092040203,0.19652651
144,Lymphocytes,ITGAX,0.24832559,12.7779114188001,1.3050101
145,Lymphocytes,KRT5,-0.35118335,16.029177524113628,-1.6811041
146,Lymphocytes,MS4A1,0.09107256,6.779171934329327,0.5217431
147,Lymphocytes,PAX5,0.15159065,6.044841230631711,0.82317966
148,Lymphocytes,PCNA,-0.07887429,2.9063712383028144,-0.32475087
149,Lymphocytes,PDCD1,0.09574431,17.80025659196171,0.5450128
150,Lymphocytes,PECAM1,0.0013805628,0.02988697804220737,0.074993245
151,Lymphocytes,PTPRC_1,0.06570029,10.467324629900887,0.39536554
152,Lymphocytes,PTPRC_2,0.42587817,17.49127401931874,2.1893876
153,Lymphocytes,SDC1,-0.11148924,11.242786283389796,-0.48720375
154,Lymphocytes,VIM,0.228926,17.49127401931874,1.2083819
155,Invasive cancer + lymphocytes,ACTA2,0.104213774,7.787522742526616,0.5871986
156,Invasive cancer + lymphocytes,BCL2,-0.044779778,6.622290130613276,-0.15492834
157,Invasive cancer + lymphocytes,CCR7,0.07344574,36.52564775882951,0.43394506
158,Invasive cancer + lymphocytes,CD14,0.13607615,54.384846211594855,0.745903
159,Invasive cancer + lymphocytes,CD163,0.20443827,79.98457968639879,1.0864102
160,Invasive cancer + lymphocytes,CD19,0.019780695,15.643900732706141,0.16664308
161,Invasive cancer + lymphocytes,CD27,0.062331796,47.067217780522924,0.37858728
162,Invasive cancer + lymphocytes,CD274,0.28918743,77.37964528222837,1.5085402
163,Invasive cancer + lymphocytes,CD3E,0.2095204,35.75088541293504,1.1117239
164,Invasive cancer + lymphocytes,CD4,0.038134515,22.131343656748538,0.25806224
165,Invasive cancer + lymphocytes,CD40,0.087311864,31.569681972108175,0.50301135
166,Invasive cancer + lymphocytes,CD68,0.57008606,104.40077528267226,2.9076777
167,Invasive cancer + lymphocytes,CD8A,0.28839093,46.45233938243099,1.5045729
168,Invasive cancer + lymphocytes,CEACAM8,0.22052717,16.248699457294826,1.1665479
169,Invasive cancer + lymphocytes,CR2,-0.018084884,25.60314915135848,-0.021962848
170,Invasive cancer + lymphocytes,CXCR5,-0.028593123,2.4800318912151407,-0.07430369
171,Invasive cancer + lymphocytes,EPCAM,-0.11927831,22.29417318559836,-0.5260006
172,Invasive cancer + lymphocytes,FCGR3A,0.51839125,77.37964528222837,2.6501892
173,Invasive cancer + lymphocytes,HLA_DRA,0.49385077,77.18082519850628,2.5279546
174,Invasive cancer + lymphocytes,ITGAM,0.07223368,16.277967797190104,0.42790788
175,Invasive cancer + lymphocytes,ITGAX,0.4040984,80.91426644327593,2.080904
176,Invasive cancer + lymphocytes,KRT5,-0.07782197,2.3622896306883114,-0.31950933
177,Invasive cancer + lymphocytes,MS4A1,0.035580456,4.480989717578939,0.24534065
178,Invasive cancer + lymphocytes,PAX5,-0.021655321,0.8109052772304449,-0.03974696
179,Invasive cancer + lymphocytes,PCNA,0.10390639,10.874557094760208,0.58566755
180,Invasive cancer + lymphocytes,PDCD1,0.022422433,9.208602786509013,0.1798014
181,Invasive cancer + lymphocytes,PECAM1,0.065543056,8.860943009913294,0.39458233
182,Invasive cancer + lymphocytes,PTPRC_1,0.09453428,51.328007408495715,0.53898567
183,Invasive cancer + lymphocytes,PTPRC_2,0.2716092,58.40131358209659,1.4209841
184,Invasive cancer + lymphocytes,SDC1,-0.05048716,7.530499980403501,-0.18335643
185,Invasive cancer + lymphocytes,VIM,0.20045972,50.88799136550961,1.0665933
